Datetime,Open,High,Low,Close,Adj Close,Volume
2024-01-04 12:00:00,2052.10009765625,2052.10009765625,2051.60009765625,2051.60009765625,2051.60009765625,98
2024-01-04 12:01:00,2051.5,2051.60009765625,2050.800048828125,2051.0,2051.0,148
2024-01-04 12:02:00,2051.0,2051.5,2050.89990234375,2051.10009765625,2051.10009765625,121
2024-01-04 12:03:00,2051.10009765625,2051.10009765625,2050.699951171875,2051.0,2051.0,73
2024-01-04 12:04:00,2051.0,2051.0,2050.5,2050.89990234375,2050.89990234375,143
2024-01-04 12:05:00,2050.89990234375,2051.699951171875,2050.89990234375,2051.699951171875,2051.699951171875,188
2024-01-04 12:06:00,2051.60009765625,2051.89990234375,2051.60009765625,2051.89990234375,2051.89990234375,96
2024-01-04 12:07:00,2051.89990234375,2051.89990234375,2051.60009765625,2051.699951171875,2051.699951171875,36
2024-01-04 12:08:00,2051.800048828125,2051.89990234375,2051.60009765625,2051.699951171875,2051.699951171875,53
2024-01-04 12:09:00,2051.699951171875,2052.300048828125,2051.699951171875,2052.300048828125,2052.300048828125,66
2024-01-04 12:10:00,2052.199951171875,2052.300048828125,2051.89990234375,2051.89990234375,2051.89990234375,48
2024-01-04 12:11:00,2051.800048828125,2051.89990234375,2051.300048828125,2051.300048828125,2051.300048828125,72
2024-01-04 12:12:00,2051.300048828125,2051.699951171875,2051.300048828125,2051.300048828125,2051.300048828125,46
2024-01-04 12:13:00,2051.300048828125,2051.5,2051.10009765625,2051.5,2051.5,67
2024-01-04 12:14:00,2051.39990234375,2051.39990234375,2050.89990234375,2050.89990234375,2050.89990234375,46
2024-01-04 12:15:00,2050.89990234375,2050.89990234375,2050.60009765625,2050.60009765625,2050.60009765625,78
2024-01-04 12:16:00,2050.5,2051.0,2050.5,2050.699951171875,2050.699951171875,83
2024-01-04 12:17:00,2050.800048828125,2051.0,2050.699951171875,2050.800048828125,2050.800048828125,63
2024-01-04 12:18:00,2050.699951171875,2050.800048828125,2049.800048828125,2049.89990234375,2049.89990234375,153
2024-01-04 12:19:00,2049.89990234375,2050.199951171875,2049.699951171875,2050.10009765625,2050.10009765625,121
