CMDLINE /home/mdzaja/installations/miniconda3/envs/mt/bin/python hp_opt.py
MEM 0.519531 1702668193.6958
MEM 36.179688 1702668193.7960
MEM 88.726562 1702668193.8962
MEM 115.117188 1702668193.9963
MEM 136.871094 1702668194.0965
MEM 163.203125 1702668194.1966
MEM 250.382812 1702668194.2968
MEM 398.777344 1702668194.3970
MEM 419.175781 1702668194.4972
MEM 434.917969 1702668194.5973
MEM 460.472656 1702668194.6975
MEM 473.644531 1702668194.7977
MEM 504.355469 1702668194.8979
MEM 516.492188 1702668194.9981
MEM 534.191406 1702668195.0983
MEM 556.789062 1702668195.1984
MEM 569.285156 1702668195.2986
MEM 572.187500 1702668195.3988
MEM 572.187500 1702668195.4989
MEM 574.367188 1702668195.5991
MEM 582.105469 1702668195.6993
MEM 611.636719 1702668195.7995
MEM 614.652344 1702668195.8996
MEM 649.000000 1702668195.9998
MEM 790.390625 1702668196.1000
MEM 1036.324219 1702668196.2002
MEM 1186.078125 1702668196.3005
MEM 1503.027344 1702668196.4007
MEM 1670.257812 1702668196.5008
MEM 1686.601562 1702668196.6010
MEM 1710.617188 1702668196.7012
MEM 1717.976562 1702668196.8014
MEM 1725.984375 1702668196.9016
MEM 1735.507812 1702668197.0018
MEM 1738.644531 1702668197.1020
MEM 1741.308594 1702668197.2022
MEM 1741.355469 1702668197.3024
MEM 1741.578125 1702668197.4025
MEM 1741.671875 1702668197.5026
MEM 1741.671875 1702668197.6027
MEM 1741.902344 1702668197.7029
MEM 1742.382812 1702668197.8030
MEM 1743.375000 1702668197.9031
MEM 1743.886719 1702668198.0032
MEM 1745.128906 1702668198.1034
MEM 1745.183594 1702668198.2035
MEM 1746.714844 1702668198.3036
MEM 1747.328125 1702668198.4038
MEM 1747.839844 1702668198.5039
MEM 1749.000000 1702668198.6040
MEM 1741.679688 1702668198.7041
MEM 1742.792969 1702668198.8043
MEM 1743.421875 1702668198.9044
MEM 1743.937500 1702668199.0045
MEM 1759.371094 1702668199.1048
MEM 1759.660156 1702668199.2049
MEM 1760.617188 1702668199.3051
MEM 1761.171875 1702668199.4053
MEM 1761.683594 1702668199.5055
MEM 1762.789062 1702668199.6057
MEM 1762.789062 1702668199.7059
MEM 1763.761719 1702668199.8061
MEM 1764.574219 1702668199.9063
MEM 1765.089844 1702668200.0065
MEM 1766.035156 1702668200.1067
MEM 1766.652344 1702668200.2068
MEM 1767.843750 1702668200.3070
MEM 1767.753906 1702668200.4072
MEM 1768.265625 1702668200.5074
MEM 1768.597656 1702668200.6076
MEM 1769.437500 1702668200.7078
MEM 1769.949219 1702668200.8080
MEM 1770.816406 1702668200.9082
MEM 1771.453125 1702668201.0083
MEM 1772.070312 1702668201.1085
MEM 1772.894531 1702668201.2087
MEM 1772.910156 1702668201.3089
MEM 1773.851562 1702668201.4091
MEM 1774.390625 1702668201.5093
MEM 1774.902344 1702668201.6095
MEM 1776.011719 1702668201.7096
MEM 1776.023438 1702668201.8098
MEM 1777.003906 1702668201.9100
MEM 1777.558594 1702668202.0102
MEM 1778.027344 1702668202.1104
MEM 1778.343750 1702668202.2106
MEM 1779.191406 1702668202.3108
MEM 1779.445312 1702668202.4110
MEM 1780.167969 1702668202.5112
MEM 1780.980469 1702668202.6114
MEM 1781.500000 1702668202.7116
MEM 1782.308594 1702668202.8118
MEM 1782.316406 1702668202.9120
MEM 1783.320312 1702668203.0122
MEM 1783.894531 1702668203.1123
MEM 1784.406250 1702668203.2125
MEM 1785.503906 1702668203.3127
MEM 1785.507812 1702668203.4129
MEM 1786.187500 1702668203.5130
MEM 1786.902344 1702668203.6132
MEM 1787.429688 1702668203.7133
MEM 1787.832031 1702668203.8135
MEM 1788.257812 1702668203.9137
MEM 1789.023438 1702668204.0138
MEM 1790.054688 1702668204.1140
MEM 1792.199219 1702668204.2142
MEM 1792.585938 1702668204.3143
MEM 1792.996094 1702668204.4145
MEM 1793.367188 1702668204.5147
MEM 1794.097656 1702668204.6148
MEM 1795.128906 1702668204.7150
MEM 1797.230469 1702668204.8151
MEM 1797.648438 1702668204.9153
MEM 1798.062500 1702668205.0154
MEM 1798.472656 1702668205.1156
MEM 1799.230469 1702668205.2158
MEM 1800.261719 1702668205.3159
MEM 1802.292969 1702668205.4161
MEM 1802.675781 1702668205.5163
MEM 1803.097656 1702668205.6164
MEM 1803.464844 1702668205.7166
MEM 1804.000000 1702668205.8167
MEM 1805.289062 1702668205.9169
MEM 1805.289062 1702668206.0170
MEM 1805.289062 1702668206.1172
MEM 1805.406250 1702668206.2173
MEM 1805.406250 1702668206.3175
MEM 1805.406250 1702668206.4177
MEM 1805.414062 1702668206.5178
MEM 1805.414062 1702668206.6180
MEM 1805.414062 1702668206.7181
MEM 1805.441406 1702668206.8183
MEM 1805.445312 1702668206.9185
MEM 1805.449219 1702668207.0186
MEM 1805.453125 1702668207.1187
MEM 1805.453125 1702668207.2189
MEM 1805.453125 1702668207.3190
MEM 1801.074219 1702668207.4193
MEM 1801.113281 1702668207.5195
MEM 1801.613281 1702668207.6197
MEM 1802.417969 1702668207.7198
MEM 1802.832031 1702668207.8200
MEM 1803.546875 1702668207.9201
MEM 1804.296875 1702668208.0203
MEM 1804.746094 1702668208.1205
MEM 1805.453125 1702668208.2207
MEM 1806.203125 1702668208.3208
MEM 1806.613281 1702668208.4210
MEM 1807.343750 1702668208.5211
MEM 1807.953125 1702668208.6213
MEM 1808.492188 1702668208.7215
MEM 1809.257812 1702668208.8216
MEM 1809.664062 1702668208.9218
MEM 1810.429688 1702668209.0220
MEM 1810.945312 1702668209.1221
MEM 1810.945312 1702668209.2223
MEM 1813.589844 1702668209.3224
MEM 1814.093750 1702668209.4226
MEM 1815.011719 1702668209.5227
MEM 1815.335938 1702668209.6229
MEM 1815.925781 1702668209.7230
MEM 1816.746094 1702668209.8232
MEM 1817.257812 1702668209.9234
MEM 1818.171875 1702668210.0236
MEM 1818.808594 1702668210.1238
MEM 1819.324219 1702668210.2240
MEM 1820.222656 1702668210.3241
MEM 1820.238281 1702668210.4243
MEM 1821.175781 1702668210.5244
MEM 1821.726562 1702668210.6246
MEM 1822.238281 1702668210.7247
MEM 1823.121094 1702668210.8249
MEM 1823.312500 1702668210.9251
MEM 1824.281250 1702668211.0252
MEM 1824.816406 1702668211.1254
MEM 1825.304688 1702668211.2255
MEM 1825.601562 1702668211.3257
MEM 1826.445312 1702668211.4259
MEM 1826.699219 1702668211.5261
MEM 1827.675781 1702668211.6262
MEM 1828.246094 1702668211.7264
MEM 1828.761719 1702668211.8265
MEM 1829.578125 1702668211.9267
MEM 1829.585938 1702668212.0269
MEM 1830.570312 1702668212.1270
MEM 1831.152344 1702668212.2272
MEM 1831.664062 1702668212.3274
MEM 1832.765625 1702668212.4275
MEM 1832.769531 1702668212.5277
MEM 1833.281250 1702668212.6279
MEM 1833.820312 1702668212.7281
MEM 1834.328125 1702668212.8282
MEM 1834.746094 1702668212.9284
MEM 1835.187500 1702668213.0286
MEM 1835.906250 1702668213.1288
MEM 1837.195312 1702668213.2289
MEM 1839.097656 1702668213.3291
MEM 1839.496094 1702668213.4293
MEM 1839.917969 1702668213.5294
MEM 1840.328125 1702668213.6296
MEM 1840.992188 1702668213.7297
MEM 1842.023438 1702668213.8299
MEM 1844.136719 1702668213.9301
MEM 1844.621094 1702668214.0302
MEM 1845.027344 1702668214.1304
MEM 1845.414062 1702668214.2306
MEM 1846.125000 1702668214.3308
MEM 1847.156250 1702668214.4310
MEM 1849.250000 1702668214.5312
MEM 1849.652344 1702668214.6313
MEM 1850.074219 1702668214.7315
MEM 1850.464844 1702668214.8317
MEM 1851.160156 1702668214.9319
MEM 1852.191406 1702668215.0321
MEM 1854.285156 1702668215.1323
MEM 1854.703125 1702668215.2324
MEM 1855.125000 1702668215.3326
MEM 1855.503906 1702668215.4328
MEM 1856.246094 1702668215.5330
MEM 1857.277344 1702668215.6331
MEM 1859.339844 1702668215.7333
MEM 1859.742188 1702668215.8334
MEM 1860.152344 1702668215.9336
MEM 1860.542969 1702668216.0337
MEM 1861.285156 1702668216.1339
MEM 1862.316406 1702668216.2341
MEM 1864.523438 1702668216.3342
MEM 1865.777344 1702668216.4344
MEM 1866.781250 1702668216.5345
MEM 1867.292969 1702668216.6347
MEM 1867.808594 1702668216.7350
MEM 1867.808594 1702668216.8351
MEM 1908.542969 1702668216.9353
MEM 1936.488281 1702668217.0355
MEM 1936.488281 1702668217.1356
MEM 1940.066406 1702668217.2358
MEM 1943.144531 1702668217.3360
MEM 1951.953125 1702668217.4362
MEM 2128.054688 1702668217.5364
MEM 2386.914062 1702668217.6366
MEM 2622.664062 1702668217.7368
MEM 2856.125000 1702668217.8370
MEM 3059.289062 1702668217.9372
MEM 3272.492188 1702668218.0374
MEM 3291.371094 1702668218.1376
MEM 3293.824219 1702668218.2378
MEM 3300.839844 1702668218.3381
MEM 3304.500000 1702668218.4382
MEM 3305.527344 1702668218.5384
MEM 3306.207031 1702668218.6386
MEM 3307.296875 1702668218.7388
MEM 3307.105469 1702668218.8390
MEM 3307.425781 1702668218.9392
MEM 3307.320312 1702668219.0393
MEM 3307.664062 1702668219.1396
MEM 3309.328125 1702668219.2398
MEM 3317.437500 1702668219.3400
MEM 3321.113281 1702668219.4401
MEM 3324.511719 1702668219.5403
MEM 3469.351562 1702668219.6406
MEM 3499.863281 1702668219.7408
MEM 3509.984375 1702668219.8410
MEM 3510.945312 1702668219.9412
MEM 3511.269531 1702668220.0413
